"application_id","organization_id","provider_id","snapshot_date_id","applicationcode","fullresourcescount","devresourcescount","qaresourcescount","pdnresourcescount","fullaccountscount","devaccountscount","qaaccountscount","pdnaccountscount","redsecuritycheckscount","redsecurityresourcescount","yellowsecuritycheckscount","yellowsecurityresourcescount","redfaulttolerancecheckscount","redfaulttoleranceresourcescount","yellowfaulttolerancecheckscount","yellowfaulttoleranceresourcescount","redperformancecheckscount","redperformanceresourcescount","yellowperformancecheckscount","yellowperformanceresourcescount","redcostoptimizingcheckscount","redcostoptimizingresourcescount","yellowcostoptimizingcheckscount","yellowcostoptimizingresourcescount","ppn_tm"
"396","1","1","20231007","app00396","115","58","0","57","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"416","1","1","20231007","app00416","141","15","13","113","3","1","1","1","2","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"417","1","1","20231007","app00417","380","124","81","175","6","1","1","4","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"413","1","1","20231007","app00413","2504","884","747","873","8","2","2","4","0","0","1","1","1","14","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"418","1","1","20231007","app00418","74","25","23","26","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"415","1","1","20231007","app00415","67","17","25","25","3","1","1","1","1","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"237","1","1","20231007","app00237","7","7","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"232","1","1","20231007","app00232","54","0","15","39","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"236","1","1","20231007","app00236","10","4","3","3","5","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"239","1","1","20231007","app00239","3","3","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"103","1","1","20231007","app00103","202","60","61","81","3","1","1","1","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"107","1","1","20231007","app00107","1615","687","399","529","6","2","1","3","1","7","1","11","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"93","1","1","20231007","app00093","82","41","11","30","5","2","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"102","1","1","20231007","app00102","42","14","12","16","3","1","1","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"105","1","1","20231007","app00105","161","82","2","77","6","2","1","3","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"99","1","1","20231007","app00099","308","74","78","156","3","1","1","1","1","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"101","1","1","20231007","app00101","35","13","9","13","4","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"94","1","1","20231007","app00094","233","105","56","72","3","1","1","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"97","1","1","20231007","app00097","90","27","27","36","3","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"98","1","1","20231007","app00098","577","277","164","136","8","3","2","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"95","1","1","20231007","app00095","541","225","150","166","5","1","1","3","2","3","1","3","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"106","1","1","20231007","app00106","45","16","17","12","3","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"419","1","1","20231007","app00419","10","10","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"420","1","1","20231007","app00420","2","0","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"414","1","1","20231007","app00414","17","15","2","0","4","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"214","1","1","20231007","app00214","12","7","0","5","4","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"209","1","1","20231007","app00209","115","43","32","40","5","1","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"211","1","1","20231007","app00211","6","2","2","2","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"216","1","1","20231007","app00216","1","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"210","1","1","20231007","app00210","68","34","29","5","4","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"213","1","1","20231007","app00213","8","7","0","1","3","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"212","1","1","20231007","app00212","3","3","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"215","1","1","20231007","app00215","8","4","2","2","4","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"217","1","1","20231007","app00217","2","0","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"351","1","1","20231007","app00351","32","16","16","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
