"application_id","organization_id","provider_id","snapshot_date_id","applicationcode","FullResourcesCount","DevResourcesCount","QaResourcesCount","PdnResourcesCount","FullAccountsCount","DevAccountsCount","QaAccountsCount","PdnAccountsCount","RedSecurityChecksCount","RedSecurityResourcesCount","YellowSecurityChecksCount","YellowSecurityResourcesCount","RedFaultToleranceChecksCount","RedFaultToleranceResourcesCount","YellowFaultToleranceChecksCount","YellowFaultToleranceResourcesCount","RedPerformanceChecksCount","RedPerformanceResourcesCount","YellowPerformanceChecksCount","YellowPerformanceResourcesCount","RedCostOptimizingChecksCount","RedCostOptimizingResourcesCount","YellowCostOptimizingChecksCount","YellowCostOptimizingResourcesCount","ppn_tm"
"97","1","1","20231012","app00097","90","27","27","36","3","1","1","1","1","1","3","3","1","1","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"94","1","1","20231012","app00094","233","105","56","72","3","1","1","1","2","2","7","10","0","0","1","3","0","0","2","2","0","0","0","0","2023-10-12 11:48:46.008"
"95","1","1","20231012","app00095","541","225","150","166","5","1","1","3","2","3","6","17","1","6","1","2","0","0","2","2","0","0","0","0","2023-10-12 11:48:46.008"
"106","1","1","20231012","app00106","45","16","17","12","3","1","1","1","1","1","3","4","0","0","1","2","0","0","2","2","0","0","0","0","2023-10-12 11:48:46.008"
"100","1","1","20231012","app00100","25","9","8","8","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"404","1","1","20231012","app00404","159","49","49","61","3","1","1","1","0","0","3","3","0","0","1","1","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"403","1","1","20231012","app00403","304","110","91","103","8","2","2","4","2","3","6","11","0","0","1","2","1","1","1","1","0","0","0","0","2023-10-12 11:48:46.008"
"408","1","1","20231012","app00408","472","190","126","156","5","1","1","3","0","0","4","15","1","1","3","11","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"411","1","1","20231012","app00411","5","5","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"410","1","1","20231012","app00410","2","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"401","1","1","20231012","app00401","186","77","39","70","3","1","1","1","1","1","7","9","0","0","1","2","0","0","1","1","0","0","0","0","2023-10-12 11:48:46.008"
"407","1","1","20231012","app00407","121","52","0","69","3","1","0","2","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"406","1","1","20231012","app00406","686","157","249","280","4","2","1","1","2","53","2","6","1","4","1","1","0","0","1","1","0","0","1","2","2023-10-12 11:48:46.008"
"402","1","1","20231012","app00402","3","3","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"405","1","1","20231012","app00405","8","8","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"409","1","1","20231012","app00409","8","6","2","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"412","1","1","20231012","app00412","15","15","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"566","1","1","20231012","app00566","102","99","3","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"565","1","1","20231012","app00565","210","81","50","79","5","1","1","3","0","0","2","3","0","0","2","4","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"567","1","1","20231012","app00567","19","12","7","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"568","1","1","20231012","app00568","1","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"184","1","1","20231012","app00184","25","25","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"186","1","1","20231012","app00186","2","1","0","1","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"181","1","1","20231012","app00181","97","35","0","62","3","1","0","2","0","0","3","4","0","0","1","2","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"183","1","1","20231012","app00183","45","1","11","33","5","1","1","3","0","0","2","2","0","0","1","1","0","0","0","0","0","0","1","2","2023-10-12 11:48:46.008"
"182","1","1","20231012","app00182","389","199","70","120","3","1","1","1","1","1","6","19","0","0","1","9","0","0","1","1","0","0","0","0","2023-10-12 11:48:46.008"
"185","1","1","20231012","app00185","2","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"670","1","1","20231012","app00670","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"672","1","1","20231012","app00672","8","1","1","6","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"671","1","1","20231012","app00671","7","4","3","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"669","1","1","20231012","app00669","210","63","42","105","4","1","1","2","1","1","4","6","0","0","1","3","0","0","1","1","0","0","0","0","2023-10-12 11:48:46.008"
"686","1","1","20231012","app00686","712","105","244","363","9","3","2","4","1","4","4","8","0","0","1","1","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"677","1","1","20231012","app00677","232","94","62","76","3","1","1","1","0","0","4","7","0","0","2","10","0","0","1","1","0","0","0","0","2023-10-12 11:48:46.008"
"678","1","1","20231012","app00678","471","163","154","154","6","2","1","3","0","0","3","7","0","0","1","1","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"683","1","1","20231012","app00683","12","4","4","4","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"685","1","1","20231012","app00685","171","48","50","73","5","1","1","3","0","0","1","2","0","0","1","2","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"681","1","1","20231012","app00681","395","145","119","131","6","2","1","3","1","1","6","16","1","3","2","7","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"687","1","1","20231012","app00687","6","6","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"688","1","1","20231012","app00688","74","1","0","73","2","1","0","1","2","6","2","6","0","0","2","4","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"679","1","1","20231012","app00679","8","4","0","4","2","1","0","1","0","0","2","2","0","0","1","1","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"690","1","1","20231012","app00690","15","7","8","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"684","1","1","20231012","app00684","32","11","4","17","10","3","2","5","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"682","1","1","20231012","app00682","2","0","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"680","1","1","20231012","app00680","833","335","317","181","6","1","2","3","4","5","7","26","0","0","1","8","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"691","1","1","20231012","app00691","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"689","1","1","20231012","app00689","2","0","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"571","1","1","20231012","app00571","262","127","57","78","3","1","1","1","2","3","5","10","1","1","1","3","0","0","2","2","0","0","0","0","2023-10-12 11:48:46.008"
"574","1","1","20231012","app00574","4","1","0","3","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"569","1","1","20231012","app00569","67","23","23","21","3","1","1","1","2","2","5","7","1","1","3","8","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"572","1","1","20231012","app00572","10","2","4","4","5","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"573","1","1","20231012","app00573","684","233","211","240","4","2","1","1","2","2","5","15","0","0","2","4","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"570","1","1","20231012","app00570","78","28","25","25","3","1","1","1","1","1","4","10","0","0","1","5","0","0","1","1","0","0","0","0","2023-10-12 11:48:46.008"
"577","1","1","20231012","app00577","333","97","101","135","5","1","1","3","1","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"582","1","1","20231012","app00582","356","104","105","147","3","1","1","1","2","2","5","12","0","0","1","3","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"579","1","1","20231012","app00579","145","56","42","47","5","2","1","2","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"576","1","1","20231012","app00576","181","39","58","84","5","1","1","3","0","0","3","6","0","0","2","4","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"578","1","1","20231012","app00578","66","22","22","22","3","1","1","1","1","1","2","3","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"585","1","1","20231012","app00585","4","2","1","1","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"575","1","1","20231012","app00575","312","98","73","141","3","1","1","1","1","2","4","6","0","0","2","3","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"584","1","1","20231012","app00584","10","4","4","2","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"581","1","1","20231012","app00581","274","109","76","89","3","1","1","1","1","1","5","8","0","0","1","3","0","0","1","1","0","0","0","0","2023-10-12 11:48:46.008"
"580","1","1","20231012","app00580","163","47","74","42","3","1","1","1","2","2","8","12","0","0","1","2","0","0","1","1","0","0","0","0","2023-10-12 11:48:46.008"
"583","1","1","20231012","app00583","9","9","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"169","1","1","20231012","app00169","268","110","74","84","3","1","1","1","1","1","5","13","0","0","2","6","0","0","1","1","0","0","0","0","2023-10-12 11:48:46.008"
"172","1","1","20231012","app00172","418","161","118","139","3","1","1","1","1","1","5","12","1","1","4","11","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"175","1","1","20231012","app00175","90","30","29","31","3","1","1","1","0","0","3","7","1","2","2","4","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"173","1","1","20231012","app00173","60","30","0","30","2","1","0","1","0","0","1","2","1","1","2","3","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"180","1","1","20231012","app00180","8","2","3","3","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"174","1","1","20231012","app00174","167","58","34","75","5","1","1","3","0","0","2","2","0","0","2","2","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"176","1","1","20231012","app00176","37","11","10","16","5","1","1","3","0","0","3","8","0","0","1","3","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"177","1","1","20231012","app00177","46","46","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"179","1","1","20231012","app00179","21","18","0","3","2","1","0","1","1","1","2","2","0","0","2","2","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"171","1","1","20231012","app00171","59","22","20","17","4","1","2","1","2","2","6","7","0","0","1","2","0","0","2","2","0","0","0","0","2023-10-12 11:48:46.008"
"178","1","1","20231012","app00178","4","0","0","4","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"170","1","1","20231012","app00170","87","10","31","46","3","1","1","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"168","1","1","20231012","app00168","1284","274","422","588","5","1","1","3","1","8","3","7","0","0","1","3","0","0","1","2","0","0","0","0","2023-10-12 11:48:46.008"
"650","1","1","20231012","app00650","461","164","120","177","175","69","48","58","1","8","4","11","1","1","3","3","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"652","1","1","20231012","app00652","75","46","0","29","4","2","0","2","0","0","3","4","0","0","1","2","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"653","1","1","20231012","app00653","4","0","2","2","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"651","1","1","20231012","app00651","151","49","45","57","3","1","1","1","0","0","2","6","0","0","1","1","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"654","1","1","20231012","app00654","26","13","13","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"664","1","1","20231012","app00664","287","93","75","119","3","1","1","1","2","2","5","8","0","0","1","3","0","0","1","1","0","0","0","0","2023-10-12 11:48:46.008"
"665","1","1","20231012","app00665","183","82","36","65","8","2","2","4","2","3","5","11","0","0","1","3","0","0","1","2","0","0","0","0","2023-10-12 11:48:46.008"
"666","1","1","20231012","app00666","266","73","69","124","3","1","1","1","1","4","6","16","1","4","2","5","0","0","2","4","0","0","0","0","2023-10-12 11:48:46.008"
"663","1","1","20231012","app00663","172","70","37","65","3","1","1","1","1","1","4","7","0","0","1","3","0","0","1","1","0","0","0","0","2023-10-12 11:48:46.008"
"668","1","1","20231012","app00668","3","0","0","3","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"667","1","1","20231012","app00667","113","46","44","23","3","1","1","1","0","0","5","11","0","0","3","8","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"88","1","1","20231012","app00088","337","124","124","89","5","1","1","3","1","1","4","6","0","0","1","2","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"85","1","1","20231012","app00085","176","70","42","64","3","1","1","1","1","1","6","12","0","0","1","5","0","0","1","1","0","0","0","0","2023-10-12 11:48:46.008"
"90","1","1","20231012","app00090","17","0","11","6","5","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"92","1","1","20231012","app00092","6","0","0","6","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"87","1","1","20231012","app00087","100","34","47","19","3","1","1","1","1","1","3","3","0","0","1","1","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"86","1","1","20231012","app00086","159","84","0","75","2","1","0","1","0","0","3","10","0","0","1","7","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"91","1","1","20231012","app00091","16","1","0","15","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"89","1","1","20231012","app00089","44","14","0","30","2","1","0","1","1","2","1","2","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"659","1","1","20231012","app00659","777","158","138","481","4","1","1","2","2","12","6","15","0","0","2","6","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"662","1","1","20231012","app00662","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"657","1","1","20231012","app00657","170","5","118","47","3","1","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"655","1","1","20231012","app00655","57","28","15","14","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"661","1","1","20231012","app00661","73","25","24","24","3","1","1","1","1","1","4","11","0","0","3","5","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"658","1","1","20231012","app00658","252","126","95","31","4","1","1","2","2","4","7","10","0","0","1","2","0","0","1","1","0","0","0","0","2023-10-12 11:48:46.008"
"656","1","1","20231012","app00656","41","41","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"660","1","1","20231012","app00660","269","126","62","81","3","1","1","1","1","1","4","9","0","0","1","3","0","0","1","1","0","0","0","0","2023-10-12 11:48:46.008"
